id,name,lat,long,size
529460,Bratislava-Petržalka,48.1108879,17.1115635,167459
529320,Bratislava-Ružinov,48.1575967,17.1627978,114135
528595,Bratislava-Staré Mesto,48.148598,17.1077475,66619
529346,Bratislava-Nové Mesto,48.1671515,17.1368492,59078
529389,Bratislava-Dúbravka,48.1888276,17.0290285,53124
529397,Bratislava-Karlova Ves,48.1591643,17.0518443,50726
529311,Bratislava-Podunajské Biskupice,48.1251057,17.2107902,31325
529354,Bratislava-Rača,48.2120284,17.1546065,30365
529338,Bratislava-Vrakuňa,48.1421639,17.2129005,28486
529371,Bratislava-Devínska Nová Ves,48.2112712,16.9734671,24455
529419,Bratislava-Lamač,48.1938879,17.0474565,10323
529362,Bratislava-Vajnory,48.2030662,17.2052549,7227
529427,Bratislava-Záhorská Bystrica,48.241632,17.0387275,5494
529494,Bratislava-Rusovce,48.0560336,17.1450367,4809
529443,Bratislava-Jarovce,48.0650577,17.1140119,2832
529401,Bratislava-Devín,48.1737498,16.9844742,1902
529435,Bratislava-Čunovo,48.0307363,17.1994899,1739
